GID_0,HASC_1,NAME_0,NAME_1,VARNAME_1,GID_0.1,HASC_1.1,NAME_0.1,NAME_1.1,VARNAME_1.1,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
USA,US.AL,United States,Alabama,AL|Ala.,USA,US.AL,United States,Alabama,AL|Ala.,17.832961659992865,18.132480359350065,17.943422773086343,18.18539490674824,18.372298802691443,17.91133868874435,18.022441003163127,18.183198857841713,16.713859622681955,17.665895671095512,16.94434038113884,17.10246349401203,17.696634256496456,16.943833494639552,17.292524118127517,17.61125320440779,17.00919500055507,17.17349694853843,16.64530638342191,16.86376613502026,17.228184994879513,17.51639037932453,17.741512597472806,17.70662748227009,17.71444934797886,17.588248712762354,16.43684250635337,17.513365926550296,17.11629923587112,16.839106491136246,17.477079318743943,17.223428181153807,17.969188165977272,16.631857445624934,17.464174223283024,17.504365484509762,18.141170661638338,17.63104393657733,17.128441235476938,17.162269080868125,18.580374467692163,18.11162650867051,17.17451205163249,17.307260909776122,17.67015990435721,17.64490224606377,17.05079882443034,17.28188185212899,18.809482139987114,18.325623904426337,17.869250270210046,17.690019408446403,18.022111380217215,17.554469198304464,17.963908702871933,17.942268435189494,18.290895049751224,18.3616060583814,17.524441998030326,17.585199297297635,17.372786449999747,18.050130985537052,18.748684672730906,17.492939327197288,17.208310478135747,18.6947462427952,19.075969355759202,18.94352285273413,18.63635401687743,19.02853039241167
USA,US.AK,United States,Alaska,AK|Alaska,USA,US.AK,United States,Alaska,AK|Alaska,-5.061191860184048,-5.576303017440996,-5.500962762296264,-5.098787317442986,-5.808755343292103,-6.664659572510445,-7.479096973773989,-3.8149414040461136,-4.5156863238777545,-5.990471771542784,-4.708859044844672,-6.501357857318136,-4.67847360586222,-4.7933687297153424,-6.622915650237732,-5.830895765130869,-6.42252168112941,-4.541979293810319,-5.478036402173477,-4.568936681584344,-5.532077701696086,-7.200526316105754,-6.495356483190011,-5.85164500184645,-6.320982971878739,-6.637740300947375,-5.116580770367101,-4.42686602188257,-3.4625062563906774,-4.349642767764,-4.714687965735422,-3.1565390487073586,-5.44118927069687,-4.64435414720931,-5.491409884990088,-4.8712756770189385,-4.4335817392333,-3.9896234699429107,-4.28004667423328,-4.447237832087474,-5.187289285818497,-4.437913692259232,-5.416195958958487,-2.90107440647409,-4.898144133681316,-4.1372880122708935,-5.338768535406317,-3.7339604799485713,-3.5184150555238056,-6.098345188305096,-3.784817520543598,-4.166604776598748,-2.7788664596014363,-3.134068703306904,-3.1500336225804944,-3.273575566712561,-4.60064949956529,-3.7374948681428015,-5.304553765006041,-4.4561646342921835,-3.943908976228601,-4.196804521743597,-5.73994700244005,-3.7629560297267752,-2.3721093743324295,-2.5742501756126095,-1.5733189796205238,-3.020084867989541,-2.339810389685065,-1.5258100568998803
USA,US.AZ,United States,Arizona,AZ|Ariz.,USA,US.AZ,United States,Arizona,AZ|Ariz.,16.24956164629185,15.248793488716643,15.162603590837847,15.484135817895748,16.296728908239427,14.911058850573852,15.500594832827597,15.656681645053188,16.1587513222664,16.06259754037588,15.624993141072304,15.481360879448625,15.759967333947685,15.724799684985959,14.562854884132193,14.937288389099905,15.621267034922818,15.387367223024564,15.18209259021485,15.755420118173566,15.311037595065548,14.850739434176006,15.573750657810427,15.059323678593207,15.531775711205588,14.605506059723604,15.17213597989688,15.876098125856965,15.781092866787139,15.16524052090684,15.894530367706926,16.543624410075413,15.178435420602375,15.497931204356286,15.71040943527801,15.663099776827517,16.179860734969694,15.551265852184045,16.164761386765516,16.595261315654316,15.837920506261213,15.573656129936031,15.782359186601497,15.909951410678522,16.259143171497247,16.44945967336722,16.949162554682704,16.369915122903084,15.77432749119591,16.282440793149235,16.79483106913389,16.589562608981826,16.56101343953634,17.099734918760873,16.336992905416093,16.636492553386365,16.668612282400805,16.898589147117942,16.418378866111755,16.648492876309643,16.328194233396413,16.224454474003377,17.200167346734855,16.354727767948408,17.070426477542266,16.730587841021133,17.040617139322393,17.293022302761727,17.241696961023134,16.036006325709934
USA,US.AR,United States,Arkansas,AR|Ark.,USA,US.AR,United States,Arkansas,AR|Ark.,16.26308143988591,16.464572934966526,16.92492994851271,17.327958652317772,17.83775909629371,16.735381548520333,17.134052738478573,16.59369505819198,15.535855024564606,16.224606683417065,15.614168993481158,15.759685464002624,16.46149234195241,16.44106395792116,16.602676298010238,16.822598130292477,15.80132391337527,16.143218323238155,15.475510476001887,15.91182933688601,16.062484278228265,16.492087124151833,16.26024634821022,16.481539620528213,16.277025275069153,16.051357569317048,15.474065342206847,16.57615924185205,15.712959199799693,15.165566750347216,16.50668442947568,16.271444170444312,16.13835514279177,15.49268870394962,16.139405246174235,15.915097929621547,16.922384324524884,16.70578769292413,16.057295457170635,15.499331107989605,17.086588285140852,16.744303441410548,16.06101352677663,15.71589808660749,16.371724461280532,16.38948372410027,15.86692173410755,15.85716638239334,17.79218089531906,17.342834165476262,16.659569453390805,16.75206787719421,16.367689980361334,16.252705929634264,16.667876656564463,17.15592773643046,17.29069176134408,17.081160442454458,15.999889582558566,16.055249683880035,16.73879916616565,17.140877531514338,18.04074070277352,15.917324190091108,15.285545720011976,16.912839271701056,17.818151841826875,17.664503448172542,16.719429836674134,16.713602870462882
USA,US.CA,United States,California,CA|Calif.,USA,US.CA,United States,California,CA|Calif.,13.058271347288454,12.612466745590202,12.485600548697525,12.660038817386033,12.784334864841554,12.183321788599457,12.575774521616452,12.79553280047447,13.729551527746457,13.694531685133603,13.097866831928405,12.947142001874886,12.650954896723258,12.662407896549349,12.370004476620807,12.455516220270605,13.132929875188074,12.892233350195454,12.96208112058853,12.877982060074132,13.125117847367525,12.300993258111697,12.809894125064469,12.772944132678726,12.944719616453796,12.189489022812174,12.90847943410599,13.17656718038763,13.174571038951953,13.163727774374928,13.205016471325854,13.943450827044344,12.352605574219197,13.183840424063794,13.440941227165013,12.744192165239506,13.668676600762828,13.396648422869566,13.627226060257323,13.193097267964424,13.245079172931739,13.254929731826659,14.00724527193735,13.171119654069699,13.053894526302718,13.740408755464557,13.970257832521133,13.91161239815969,12.711480170022048,12.980259821562436,13.541199804536282,13.621793902057007,13.400009652385867,13.927162434607856,13.731630678894865,13.562573302968227,13.520435479135221,13.51661466516263,13.522014213386404,13.52278407911679,13.149118775661554,12.86689286847386,13.896930428070101,13.857201021245368,15.144309838759677,14.626856516686544,14.443988093169494,14.464736861808825,14.243175470061104,13.704835152495031
USA,US.CO,United States,Colorado,CO|Colo.,USA,US.CO,United States,Colorado,CO|Colo.,7.207939659868472,6.113550918414465,6.50702568394621,7.225054323603047,8.14929988973445,6.492910500407135,7.019699169658442,6.452957507712266,7.155313327863851,6.735176143206843,6.498736588107377,6.250894171179975,7.008132509780604,7.6226726542885075,6.2089560741959815,6.509647958777198,6.743979314190568,6.7962901227389,6.14352791346487,6.670575139937658,6.446622410393506,6.208585243970475,6.554658526456511,5.9570555079146645,6.544315277749267,6.047574787824071,6.679030318862336,7.601290711285827,6.621429787605469,6.067584532222942,7.414258119455776,8.106443533776448,6.391104785811308,6.62779872873151,6.160734786075101,6.350118075081848,7.591771327096912,6.900785759641896,6.792758018958679,6.974265239823528,7.607357145605941,7.204888908539776,7.178907296978096,6.534063454953696,8.150015421567304,7.699618697857574,7.809582032620587,7.119813754664965,7.935915306271549,8.196454062830378,8.411459491203564,8.183925709873227,7.8716086706304464,8.501779070320476,7.781813217879521,8.377565550939039,8.312107401013762,7.906402373315326,7.264985398731729,7.49547627090539,7.972458860987534,7.614005878367304,9.167599019083715,7.340961520600231,8.04321748437045,8.720358071492717,8.66609158021715,8.859392876145316,8.620704436036604,7.323749559457563
USA,US.CT,United States,Connecticut,CT|Conn.,USA,US.CT,United States,Connecticut,CT|Conn.,9.39530723911811,10.025217583318996,10.263281840091556,10.861214745963457,9.85284182549413,9.878096623186101,9.266023608591178,10.158156342006174,8.712784627420382,10.085754099839733,9.385456764554192,9.489896151968642,8.77028114191342,9.023763337130964,9.554181012336963,9.190381232698243,9.467910502016759,8.969438961245151,9.371203812339758,9.496880173749625,9.500348084218691,9.64235956020238,8.969872157841602,10.456981642288374,9.58640219636174,10.026058028069764,9.111455171066225,9.541853106187958,8.674324769894099,9.6740321645498,9.404247152174463,9.500353372373771,9.339690644273995,10.136458393546794,9.941027846907545,9.742872722700165,9.56427773853755,9.682720582088995,9.446795332686415,9.26794962692619,10.912234258696051,10.95171591848171,9.140172706186087,9.640174571031153,9.742308377732618,9.958480313583621,9.412323043384086,9.577243444713753,11.25048965836639,10.836198127767881,9.620204211122655,10.58726389999182,10.815871116687811,9.481602730923745,9.906751500929346,10.323905145402543,11.181341530065856,10.32231375960813,10.436236174502904,9.857961558321671,11.131872821053458,10.92243443509445,11.722983548191863,10.312712265765612,9.672496029881325,10.467957783719447,11.470423942998082,11.013819207675875,10.733048104487258,10.42704236270553
USA,US.DE,United States,Delaware,DE|Del.,USA,US.DE,United States,Delaware,DE|Del.,12.399638641828076,12.849741107402243,13.088271430435347,13.693565021121287,13.129616010853757,12.841399332863366,12.711055227078361,13.151622166752455,11.703754530032256,13.515630209347032,12.263643616374333,12.580419158935603,11.930559604957097,11.965130450519155,12.703430054507416,12.446415514057998,12.199934244212509,11.88415553227586,12.524074863058312,12.26283794597668,12.534073410848782,12.87079148026694,12.308170844425453,13.342121116122348,12.908211026808326,13.191263944143964,12.382416808647681,12.905175564043105,12.029134224091914,12.480434767065868,12.620148434531586,12.378308474720635,12.64001562677393,13.044842839721904,12.974064530342142,13.323716441705495,13.177020651929388,13.116004211679245,12.581992008847328,12.60138791175929,14.303276918169217,14.09040678302594,12.450795184731698,12.936319852129921,13.046316543705851,13.184119726613266,12.462051795244562,12.879164179647043,14.450624328830571,13.864121072572374,12.929985250923338,13.583107642629747,14.146120432065246,12.76641216798472,13.480638158759797,13.559346775765425,14.34402973632094,13.846794170049357,13.751086130741854,13.331343840647753,14.098488710161396,14.456534557410459,14.943544250705557,13.458569659937936,12.644431982798437,13.773685628182847,14.46156095276246,14.51648800941554,14.165545567414142,14.329555159418357
USA,US.FL,United States,Florida,FL|Fla.,USA,US.FL,United States,Florida,FL|Fla.,21.60605710370506,21.701402702488977,21.647638286319083,21.87734395786185,21.51528650682091,21.510353444413656,21.361857011810216,21.944185075433328,20.85540636029897,21.6961986009574,20.991151809149255,21.399421433181132,21.30993358976878,20.954018320888057,21.390561089354247,21.502571291688653,20.835476573440662,21.486281065707402,20.62205243984377,20.830938598563606,21.021826820426018,21.520048302862392,21.870560302491374,21.50442126732617,21.88229122281076,22.027236448150955,20.828281582888224,21.0472089746421,21.20946393448538,21.176165552796785,21.303004414362288,21.028723335565278,22.202652013772205,20.906302114551266,21.377155827991512,21.82288402845595,22.182860039860334,21.447291644146148,21.240138186118305,21.88123329851359,22.77970929382514,22.3599185770631,21.524038357082116,21.596398906633727,22.229785975951007,21.78757106959871,21.348725429729996,22.01777814014842,22.720431507176613,22.062340903180342,21.711444112638322,21.960436689928784,22.15610529369982,21.856880015254905,21.826786365535288,21.81909207098013,22.133637013835003,22.32751833744189,21.8348626269179,22.036308728932017,21.013676156843285,22.348508372083952,22.45781196777064,22.329746409331772,21.806391689707706,23.429033092186824,22.926451910178134,23.07419360236385,22.623370115392035,23.17778929761917
USA,US.GA,United States,Georgia,GA|Ga.,USA,US.GA,United States,Georgia,GA|Ga.,18.090232185038726,18.31847710849846,18.337323452132583,18.33422009693939,18.500959552048183,18.16109882197974,18.25615996644184,18.471267037133643,17.18133599911633,18.14902530589959,17.294913912577616,17.59586636216244,17.82555062745704,17.18679621644995,17.575976069762984,17.88167061445608,17.132925598394976,17.486753849604,17.068495847783026,17.067382754046633,17.717504651924983,17.938760874769997,18.048279500371848,17.997296374316367,18.153127557693903,18.11672072970603,16.914412015718927,17.66687537295866,17.498830408629743,17.31912721109984,17.722050787939196,17.335492756739615,18.22654088506644,17.05860705111031,17.850851837797233,18.09379235718315,18.76363862501434,17.874262030903513,17.338733798797822,17.794082064791027,19.126240295461916,18.57288589023319,17.547030155587606,17.81235701156753,18.088304247741224,17.996733849753696,17.49597110134587,17.77393175561018,19.16526092046844,18.495682336579936,17.90238409805995,18.181398400340296,18.446782571281137,17.94951068690112,18.289123562613785,18.124480148534243,18.560244288350926,18.729205864371703,17.99042823572563,17.975773760818864,17.616721180695492,18.57931249090606,19.039850516815537,17.99299507999379,17.753837511685003,19.187100979518842,19.246386455505583,19.229038958968786,18.80471859418462,19.405694219762932
USA,US.HI,United States,Hawaii,HI|Hawaii,USA,US.HI,United States,Hawaii,HI|Hawaii,21.538741151346873,21.802787098810565,21.38789079385442,21.655771707978115,21.719143352117474,20.924218256505398,21.71659991281766,21.802587185288697,21.61028758597756,22.10956275394871,22.048182065395153,22.16777373084578,21.810835900262763,22.120094643903126,22.035967200130827,21.7211006606462,22.097920449209507,22.475608492789686,22.64766578837681,22.069049460183592,22.257738447243188,22.057354334310578,21.760754400033772,21.94018653627194,22.498506217855226,21.798614069328593,21.971961150428484,22.70876272088496,22.454615894770814,22.46601306673705,22.950871426795445,21.995697102988476,21.943718663942917,21.56053274832588,22.398846183125272,21.396688166668564,22.232696284564426,21.69080590486055,22.33059009812519,21.753598377020705,21.877651197232836,22.710885018294437,22.80427245612304,22.45650480698986,22.95391969403529,22.998516378344817,22.998651812564052,22.754728784361387,22.39607299192562,22.375291107569883,22.53631996634536,22.971868282281264,22.808137847508476,23.165318192075247,23.259966261397206,23.08336225075051,22.873287020209034,23.112654462483018,22.72545679215796,22.546867555279263,22.76144723915868,22.78452366778853,22.681713045613435,22.7901566696942,22.077537655954103,22.551161762656353,22.543495189227524,22.564447351627322,22.70341287320184,22.51220389214201
USA,US.ID,United States,Idaho,ID|Idaho,USA,US.ID,United States,Idaho,ID|Idaho,4.651756730105821,4.229346993939454,4.475405359412899,5.734053394452843,5.189667352090335,3.631157621928594,4.583959621377243,4.5959081391932415,6.034903559838317,4.899120707021808,4.68685938552953,5.4096838181176,4.763358592595613,5.320591981043809,3.666096077211662,4.792180274021931,5.37571534538597,5.505852637206128,4.800374585879339,4.948104455736792,4.801536359472422,4.355876377085248,4.544335092985686,5.053679056662186,5.1420350356600055,4.098326216335285,4.536584503564289,5.09341528086676,4.778180544885089,4.733134296055027,5.183260219143928,5.861221625984588,4.163603949202828,5.155639804773107,3.843442920833089,3.045184533133431,5.648948117638,5.900171572804467,5.6497137805706545,4.904207457737168,5.5654292464837924,5.269110336447507,6.173509661262249,3.8040933744142458,5.939179317288762,5.705001803370043,5.385272063419454,5.574072108758931,6.143601486444534,5.665256336839444,5.6327472247883135,5.6736785973745185,5.210423115373274,6.628246361854873,5.775946908327825,5.418199219428938,6.015615121212733,6.166966316494784,4.9493111014068205,5.121247178487844,5.389793535602631,4.818620619880282,6.514265414169084,5.4392159350774945,6.446326252098018,7.270351239060919,6.521258821095079,5.898857937711152,6.406767133118294,5.31998112220145
USA,US.IL,United States,Illinois,IL|Ill.,USA,US.IL,United States,Illinois,IL|Ill.,10.387825212426245,10.39297501135196,11.896730237484812,12.461953717346816,12.474150018401412,11.776691960036652,11.906111370827801,11.48581288244515,10.457668733864628,11.441595573736768,10.578311482969184,10.963767052330127,10.882655945423332,10.80252551263282,11.809415957052488,11.495111219418368,10.72782854731434,10.739460961656329,11.006260268126487,10.634117412883782,11.058348420838243,11.612187222835141,10.56431922454513,12.054608156017684,11.26465110994703,11.496689991508484,10.584226774995585,11.230965221436804,10.120381829579424,10.114472028046663,11.1061954179384,11.325118531247256,10.705381092187594,11.336951069851446,11.284304743032408,10.659027834394465,11.860979962568484,12.55514476425507,11.444161131680596,10.495828924399541,12.267023347194515,12.334783837110223,11.351609952816801,10.763167300022255,11.39057536035456,11.174919365762056,10.362213421184595,10.806051284123688,13.160798436451193,12.266360366624019,11.521088500929395,12.142108886022774,12.079903920188789,11.229512488352805,11.725203347272318,12.339862041171818,12.5274563782695,12.327342940391597,10.785272664685033,11.082552061791352,11.88444237684449,12.056014629155513,13.463354292573735,10.86788806503003,10.053291874104309,11.997921083375923,13.014030429233111,12.784879258922638,11.69679196418293,11.54853022928918
USA,US.IN,United States,Indiana,IN|Ind.,USA,US.IN,United States,Indiana,IN|Ind.,10.433211326788145,10.592835503015204,11.805217612108711,12.241275272174065,12.150111221550347,11.55659336081267,11.563937889832587,11.31089485024791,10.089266058396026,11.483007789563919,10.443040904110314,10.840609616700851,10.679398908007025,10.231658743488765,11.49100990686081,11.268443553157075,10.466712952668374,10.548942505679301,10.72930946135862,10.467314900050772,10.925737491755148,11.265845725667845,10.499458711723108,11.970279162545268,11.111183475258741,11.480161363030211,10.339074854729475,10.960267231855866,9.896170895100449,9.953636354434474,10.723998751229209,10.833890320973543,10.77565219502344,11.343105924094067,11.121036397721634,10.87956332284548,11.705378987539467,12.184326400983707,11.140748947793833,10.473703081819712,12.202765474045364,12.424232149959067,11.097015025224252,10.78748878879756,11.204039989480293,11.17704132957195,10.365252459966845,10.589509648555273,13.018100466821181,12.072594547177223,11.1758287256529,12.082743733119045,12.045272347759337,10.942375392302631,11.628738646795531,12.010174437044972,12.248818631230469,12.18299711572088,10.897502885811571,11.03032992501286,11.75247822519889,12.003609727167023,13.159310017822966,10.934080737504312,10.00830406740945,11.666404429228729,12.711776426912058,12.592770237287828,11.759843553959607,11.694985400106319
USA,US.IA,United States,Iowa,IA|Iowa,USA,US.IA,United States,Iowa,IA|Iowa,7.746654980937383,7.478185938566544,9.393559456056082,10.116288010535408,10.199811723230406,9.42255524377894,9.58129239218007,9.205516495830556,8.835645790557663,8.879849297690077,8.391188281232232,8.690224926692792,8.630649413353089,9.308022109158847,9.660840925071426,8.78278337689863,8.577621291360591,8.68839377485053,9.15630937737293,8.345206619780981,8.879114452282721,9.111566996478823,8.054438484498164,9.796910707556606,9.214499066734348,9.090478345329535,9.088427464915787,9.562913064529567,7.870803145202426,7.768453014238599,9.3602530136506,9.897727309894151,8.356302299578786,9.173526652368603,9.245129206562757,8.24063366607813,9.718742156488394,11.069495585323347,9.760352974398662,8.558491592769826,10.180021463063184,9.73329919710965,9.267976012592234,8.023473276930465,9.066783496210334,8.948847172447605,7.779551169442111,8.832667301238217,10.842679372993624,10.211680144124204,9.635905224281913,9.843776971947761,9.939050000405862,9.26211815989256,9.55681812135939,10.179313114063262,10.615747945333078,9.75870332520725,8.125743252165384,8.566100101855119,9.379911220737105,9.517721002249914,11.545435301876793,8.585537456733846,7.9929459400111496,10.034330158986643,10.886001113665307,10.430344514533516,9.060701995317885,8.716788339476599
USA,US.KS,United States,Kansas,KS|Kans.,USA,US.KS,United States,Kansas,KS|Kans.,12.232318590318348,11.605836003085813,13.104143430714482,13.93498403333706,14.484788100713303,13.015352267777564,13.70528648637901,12.47364480910899,12.257143936597478,12.42546197343276,11.939349720719031,11.888318031497548,12.860670891990475,13.686126786508344,13.153812107656018,12.966881511306264,12.329686543477536,12.610777545787997,12.40600024855423,12.29309793944673,12.68768781162368,12.61800198293723,12.270353461392668,12.603361627697973,12.864874963319503,12.514099460170362,12.775294593099781,13.567247850557726,11.983928054304835,11.747883226348256,13.252175745480926,13.651069403979738,12.201399500044209,12.20974738040295,12.644778945040477,11.906488393637959,13.835095021782692,13.44107917995793,13.054804705455751,12.232702551887186,13.566242360334021,13.658319594250287,12.826116031544819,11.680758324511379,13.268930855503143,12.778331711112239,12.341988697059918,12.544952393848996,14.001276488074069,13.84577658489458,13.557534580343026,13.773191240764405,13.307937558321802,13.241498264406024,13.296752226411561,13.74626878650684,14.298772656228897,13.270813399525977,12.554762505267979,12.53759396809655,13.411627524677334,13.424212172943546,15.005263536852501,12.622681212948592,12.592474697865773,13.893016462197233,14.443671172341316,14.09973088920952,13.10041449469253,12.627676105584328
