GID_0,NAME_0,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BEL,Belgium,726.5427948,637.0835802,707.8725512,868.1381129,748.1450247,694.8251834,739.3323945,612.1134309,692.2595152,778.7761627,693.5063808,726.5383553,874.0810885,659.0175841,856.7186516,846.5248796,676.4629779,715.1120181,857.781313,996.2347139,717.4993026,907.8778062,829.870618,895.6435315,935.3535543,985.8554219,835.3496145,864.9475092,887.7611062,731.4652684,445.4892872,897.3487976,920.8954852,883.3511418,1048.586382,876.8948243,873.9315914,861.5313633,685.4920635,999.0476061,881.2269758,834.1852312,654.9428373,723.123525,907.0560021,848.2783069,940.3452302,781.4590156,1001.641721,885.8411411,819.2972935,826.2291817,795.0243017,927.2594932,824.5400421,898.9093462,757.0540811,937.238214,668.2686929,979.2068912,973.2951443,1020.351901,616.9079476,860.1943562,733.4925795,860.2691563,898.8098995,961.1528157,609.6005918,1009.871002,1001.189925,848.3554118,744.2134497,780.9650028,1118.911416,1143.368968,793.3281183,820.1976282,800.9662234,875.5314074,665.2269423,753.7209532,735.4029298,1034.872022,739.0247264,556.7905674,889.9049523,774.2068847,923.2866836,928.1699377,1067.31216,946.554855,876.0575089,995.4422863,787.9341008,939.6724069,952.1027091,1017.110564,748.9399098,796.9670524,748.0694871,901.6999247,924.5484052,908.9234711,887.0212955,690.2104559,792.1016026,1034.282241,988.7589131,1004.351692,1077.547375,1054.169003,703.4543923,861.0226097,781.0323259,892.4662183,967.0762599,906.3339725,840.8404521,854.2539068,751.7729996,939.5235152,821.2677352,872.5892576,801.7177838,865.98848,742.235569,633.8122291,737.1151288
BRA,Brazil,1737.935393,1746.876371,1735.358174,1750.73427,1747.068834,1746.83964,1741.056372,1730.826164,1745.842814,1729.010406,1729.392494,1731.338985,1714.821302,1728.502566,1734.914712,1735.810116,1736.366365,1724.627026,1721.695266,1734.431698,1719.697473,1750.941881,1736.937713,1688.969798,1605.600516,1765.811037,1802.396075,1735.497085,1657.032317,1761.171224,1785.867927,1765.067374,1734.802889,1878.853559,1709.312718,1811.392015,1726.158741,1705.072619,1788.43507,1664.757407,1685.420816,1642.369919,1748.237786,1787.174978,1773.132906,1640.52448,1742.507761,1683.934507,1733.626529,1766.924201,1652.263441,1693.837618,1703.603699,1685.382609,1819.146324,1668.869561,1850.890345,1732.901211,1775.63317,1762.304217,1580.81438,1685.268259,1720.251271,1635.281937,1744.099539,1813.112826,1717.423054,1635.47343,1683.807146,1750.121847,1672.32641,1737.935699,1563.434179,1806.937619,1752.966178,1703.723285,1695.383121,1703.367909,1627.3732,1655.894712,1720.379897,1766.88281,1868.109872,1902.993727,1785.970215,1729.854467,1805.528856,1797.865354,1760.95111,1736.565692,1613.620229,1753.162166,1661.189376,1780.588047,1949.053594,1808.041819,1619.897029,1819.428007,1948.117149,1626.225625,1670.601011,1684.425996,1652.478566,1781.132862,1706.658007,1731.725896,1672.778844,1609.499931,1696.365887,1844.134424,1706.662263,1691.056173,1649.572849,1766.341959,1711.310083,1721.712301,1597.136601,1775.680498,1873.645604,1618.181629,1808.036618,1602.397841,1774.823369,1725.159724,1518.623204,1590.738205,1651.291411,1733.25392,1667.936408
CAN,Canada,454.2910831,452.3148378,454.3068205,447.8925976,448.0067072,450.0130042,449.3177581,448.2253087,454.0316025,464.5602093,457.3135539,458.0977415,453.4813799,452.1483864,443.1268385,449.9046557,449.526508,444.7289165,452.2640432,446.0803124,442.7146378,436.0831744,448.3672539,428.8161142,433.1128314,441.9557924,444.8378866,444.7901099,442.7058436,433.8788769,444.5708937,426.5954102,430.8208446,433.1512349,430.6828828,432.7693105,441.5185787,426.425527,421.9934344,432.6173057,436.8049048,477.6505765,463.8293115,445.8485319,457.7471465,458.7885259,452.7558962,438.4281399,471.4597123,430.0732682,456.8147465,449.2916809,430.8699657,436.3601963,445.8013875,430.2420363,451.4876395,435.9831061,446.627779,436.728546,439.569998,451.6534929,461.4615754,462.0280429,437.1989771,435.8846003,427.8208223,441.6866697,463.7722662,449.6080253,435.5456804,456.1813112,453.1779735,469.4414139,452.2991154,464.0653704,448.7000235,470.5075983,450.6776888,456.0738285,470.282562,445.9407879,471.2004889,470.6343936,461.3087485,462.4789852,467.0201647,445.1216983,462.2394061,472.3116646,456.8973271,463.209639,470.7776438,473.2266813,458.2288548,465.6835984,452.2606891,481.7913744,438.7611605,478.3500421,470.7780615,449.9146719,450.3695706,455.3707023,449.8775728,476.1782776,463.8355161,441.708229,484.0070937,450.0560129,452.4883665,455.1281831,464.174391,471.3655936,504.2733966,464.191338,475.2213929,468.537989,445.1269565,446.6734786,456.5880954,473.1239016,453.3416278,465.1999903,452.4352967,477.7805597,467.35526,434.8204094,444.0900736
DEU,Germany,735.9231695,618.7297242,648.4813975,766.467638,736.1012604,747.5154402,730.6892738,718.1466065,697.6528506,743.6751549,736.4276728,708.6415739,739.4637184,620.3981389,789.6447434,766.4476505,669.59364,650.3431669,754.3789106,813.8186032,540.0711051,816.3124233,723.4218305,802.3029431,759.9747831,811.7102631,673.1033114,726.2840882,706.4237898,658.0680428,561.8001722,862.2333112,767.0021925,764.3354796,767.5513577,863.2178988,847.3049405,736.7129802,574.7653336,821.6331699,816.4025763,719.3833735,635.8636125,602.6126685,786.127631,802.116556,772.758225,723.4206791,891.1840294,827.9046583,838.6865449,653.282002,606.3103971,831.1802111,754.0218528,752.9602995,669.6904567,737.1427214,641.4934092,809.2030193,739.6687883,804.6642587,580.0439283,855.5270167,763.6884204,819.9020005,766.6445923,851.4497528,532.7964903,828.2510419,843.9153646,680.3261316,641.110842,617.6842704,959.6036686,938.6324887,810.5762676,816.7407068,703.2923793,888.1941732,586.5985697,645.3913429,683.6842613,861.7409948,641.9681685,576.257956,804.1100787,781.9092524,804.6921496,818.5887178,969.3921902,685.1021728,767.6049617,806.0052013,715.4725687,842.297875,860.0381665,846.4376793,668.0667293,773.0440542,626.6111699,773.7436782,863.0975425,869.4906149,847.0266664,661.8037841,691.8291626,898.1588793,810.3952105,794.4281143,900.2495644,987.4331786,590.0384504,787.6710456,758.3812601,724.4977252,939.8616302,753.0322259,779.254407,846.8282697,717.6028423,760.4775367,774.861466,720.6528176,698.8439998,723.4153726,854.4817824,572.3803621,717.7365797
ESP,Spain,629.6378642,706.7339197,604.4217354,590.1404833,861.0596229,546.5357024,628.6498592,576.1864563,566.8888795,683.9549519,698.8938067,711.9677371,602.4624401,631.1165044,580.3413921,652.1691876,640.7128169,638.2850147,628.2326936,688.728147,666.6031521,552.0417134,651.5355841,648.7797549,749.8925057,689.5708517,610.5460099,614.5324992,780.1280251,619.4256693,553.9725306,626.1876891,638.1934187,604.1173961,653.9833182,688.9273759,680.8410854,636.4155058,616.833867,725.6881754,588.9507913,745.9074856,658.9547296,592.4998827,621.1339598,874.5038431,832.1499996,495.2856383,689.3554568,691.560011,816.4943332,672.4054199,637.5068888,505.9592732,491.9558504,659.0391628,768.2301961,606.8632731,548.864181,529.0306489,819.4308806,667.7431126,523.7972614,505.4892455,755.8515391,647.4806353,591.2906156,677.4212782,836.6018995,921.6356208,699.1990343,717.4150497,884.1903389,584.9751205,690.8363541,743.8371471,578.7491756,635.8060571,868.4106642,573.5145044,745.77022,806.6118129,556.2586047,599.1181243,632.594038,728.4167923,785.1289722,711.4589968,818.0420622,562.3994264,564.4363728,624.3168901,561.3055738,699.0142976,592.8302315,587.3717612,733.6874965,645.1305679,765.4460671,537.282097,576.4176253,607.6919061,596.8698558,535.9160651,585.4755513,862.9458928,805.0045361,519.7799969,601.8742822,683.7622797,639.2746997,690.7701644,731.8365165,588.9663294,456.358092,641.5678163,559.115338,700.0394946,646.9625612,833.3140498,554.1883358,549.179315,742.383493,695.540223,513.6526318,680.2522655,487.3097241,771.8669068,605.0363513
FRA,France,826.383551,803.4575406,686.045656,728.7941457,845.2005767,869.2068358,856.7634837,725.6605943,721.9911314,867.9720783,839.3315281,809.5445581,849.7311356,726.5866889,832.6775036,756.7666331,844.2768244,739.3536382,845.005807,1160.453124,782.1997742,886.5404925,905.8252248,923.5021307,967.20752,978.3242736,848.5262286,785.0428588,929.0514305,754.775577,531.9785523,958.3929679,947.519233,794.2071268,862.8847361,893.8569937,993.5095886,920.0041407,738.959045,1089.697168,933.323347,887.0641992,756.8714001,817.0678517,1019.283608,890.7378772,1006.498649,742.3509204,984.8791349,915.1528813,899.8017134,744.2243384,765.9381319,829.6607771,665.2010708,759.5907874,769.9391196,784.3383509,662.6500823,874.9494185,1030.862949,975.2859427,621.2704582,839.7242633,833.972001,782.7120401,792.1522733,1008.069645,866.8985884,1081.471738,824.2338086,794.8092903,914.1781068,738.3325824,1058.841293,1011.982509,782.1892174,941.6192595,891.8078441,872.7922653,797.03547,837.9148944,755.8950545,923.0841427,823.5667491,777.9660918,1016.119161,881.6176951,1032.465689,901.8504331,1045.042908,971.5529445,872.7212567,975.443309,735.9423027,940.6478258,911.0726423,966.1303223,691.904639,830.2444537,750.1988545,953.4704188,945.4852261,1046.83381,960.7532239,903.0784186,851.4981922,886.5801973,1069.819832,1046.29605,1004.92401,993.6584471,792.0073275,857.2956552,726.5365377,877.6601073,900.6216214,998.4779549,845.9702228,894.7210705,763.3807941,923.1860137,1030.306091,1014.23892,766.9891059,910.7929371,775.4555034,910.4585624,888.3518797
GBR,United Kingdom,1038.935399,955.4319514,914.422188,1067.018349,943.0358259,969.441836,997.4593943,973.8051633,980.7983472,1095.160713,915.2656409,870.5015677,1266.752845,934.6770569,913.3786606,1030.482908,1027.654692,966.5828165,1018.384648,1061.519904,982.2317899,1158.980866,958.2578036,1049.227161,1008.380205,1129.154259,983.8045346,1076.799002,981.9730352,1072.1666,855.365524,996.1601515,1140.107791,1118.312938,1015.905874,1050.919476,1146.80182,1177.50171,1012.338338,1111.191026,1057.83217,1047.090474,826.617513,1005.581321,1092.465805,1010.974226,981.9896877,1119.422639,1025.188805,1003.982677,913.0709672,981.3649307,1012.7864,1025.560524,964.7282805,1085.358638,949.4413392,1131.763945,998.0891599,1128.967599,1124.510331,961.8229335,915.4249673,1209.454485,858.5291549,993.6587524,1024.73281,1064.461284,929.7859401,1110.592779,1025.980207,978.5981709,946.1254658,876.5888294,1074.009709,1122.479936,1133.352997,1016.199963,952.5348421,1060.707102,893.183738,933.6341464,891.7964797,1105.936264,872.1873496,925.0599103,1035.336178,1001.478392,1100.972865,1086.036754,1104.786939,1122.245039,1020.062925,1024.419424,1034.721254,1130.479725,996.9683738,1079.241588,974.1985794,1117.997396,950.4852923,1129.049534,1061.894606,1122.795841,967.9954239,864.3209517,968.8428147,1186.188444,1166.564228,1251.889518,957.0470897,1171.334095,822.7539405,1101.545394,987.5097062,1069.322449,1089.399011,1183.859906,1097.795244,858.1196485,1049.405139,1201.129585,980.4782391,1173.343038,1159.600634,1020.256521,1028.406777,959.400817,1141.777642
IDN,Indonesia,2700.575484,2954.159799,2982.670654,3003.696385,3014.273753,2661.039177,2915.940447,2959.977534,2877.728991,3024.616133,2930.951053,2498.822164,2988.340345,2837.470288,2685.687483,3008.207672,2747.286446,2864.767434,2925.11633,3122.663913,2600.391463,2876.240687,2829.846873,2385.746789,2832.915159,2988.224276,3043.086557,2534.944111,2610.681847,2805.430447,2959.080941,2803.788765,2549.415373,2982.381081,2584.709575,2776.53575,2808.964245,2723.9492,2607.90728,2646.654651,3003.820273,2991.362465,3035.553405,2920.008015,2675.915552,2938.828398,2960.415546,2929.148557,2816.085402,2534.667471,2600.506812,2833.661194,2964.110863,2735.790206,2831.15921,2687.029356,2864.026958,2792.67401,2939.498776,3006.398882,2626.202424,2948.506231,2684.419977,3065.649566,3165.985601,2980.407985,2770.739079,2880.634322,2848.600507,2980.612665,2539.663649,2960.430353,2412.3555,2958.24103,2293.687403,2792.736806,2514.215486,2853.389449,2717.447072,2922.803872,2797.849122,2085.239253,3107.564373,2626.094225,2912.200449,2450.769794,2788.766488,2918.269314,2633.497087,2733.018979,2816.340984,2304.118178,2844.26021,3204.836799,2826.342286,2787.880566,2573.007568,3144.474226,2865.67828,2663.687789,2610.77381,2608.188758,2674.270903,2497.996714,3226.585243,2916.131881,1959.92046,3166.953232,3127.062343,3040.084071,3016.841851,2604.247084,2886.968969,2674.547046,2967.039988,2707.951743,3112.264925,3302.711516,2775.655671,3620.59088,2975.119107,3082.692719,3219.356669,2558.566552,2348.704794,3132.909747,3177.845614,2844.394553,2481.918045
