CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,State,IND,IND.2_1,IN.AP,India,Andhra Pradesh,,State,,894.379446314476,908.0381395247076,887.3482173231953,839.9703641622273,800.3786604154901,784.9734465579554,785.2036356651032,802.7358103307133,835.0337302438497,852.7440565487328,836.8932918578612,813.2033615971129,827.0350551738179,896.0451278716001,985.7026156286307,1032.4752324296953,1004.7360326085588,930.7302750709393,858.8254888510187,813.0616559177237,793.4008993849483,796.0991462977601,818.911298365284,848.3097221782008,861.063637837847,851.8426606123816,840.7697217528938,847.0714496790033,870.3993412513936,892.65323299415,892.6428396141312,866.6843083183513,832.7564299810974,814.7813529584065,823.6896236598752,849.0208766747396,873.708188274545,891.1748667610013,895.7642476012641,878.7632171286821,852.9121548337135,849.3774840410886,872.8703374323561,895.2717450337476,899.7456105696776,894.1641955271325,886.439371678607,873.7959478139809,849.6103807640536,816.913218520258,796.8802275814296,811.1839229992881,859.3762334206672,920.622633961481,966.2457824790209,975.7284976488141,953.274049145975,920.3539235428129,894.6453105924087,885.2654108541946,890.2000691507096,891.3881807621813,872.7373111563171,841.8395857163989,817.0352641588023,804.0169177337633,802.987098797973,818.4347200795033,841.2836851991095,848.0850921230596,833.4508624654422,819.8096325174887,831.4254619399264,869.7727830866158,912.2669223785256,935.3364740199473,932.5774510397189,907.5682940309764,868.6244132890948,833.1795795963275,817.2807696702907,817.9107598092705,817.0175942923438,808.1727983143155,808.9049470014662,835.5800542640967,880.318958483033,924.584956585708,955.7422268255755,961.0532383248386,933.246116368106,895.841275151532,895.2340679363615,948.2627574088763,1014.607214800691,1037.4741043991366,1001.1160012734721,937.347270752955,886.1524154057016,859.4151525482522,843.6038327324577,836.168261166724,859.1166912858743,921.6010039769745,992.4749593890388,1029.4914425182064,1023.2489732002965,1000.9257879007372,986.4170657490753,970.1896651664588,936.3070431149255,895.5385104561004,865.1540079841182,844.5925362562908,826.5095952190874,808.3804850467571,792.5071448461962,784.2155855526962,786.5764339343567
,State,IND,IND.3_1,IN.AR,India,Arunachal Pradesh,,State,Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency,2687.0060156446707,2711.5539123754643,2703.068048250773,2660.1517847772047,2613.1811785720215,2599.7768730677803,2632.2330913497185,2707.805768560031,2822.4377116802193,2951.327176264632,3038.432392079699,3033.305713744192,2940.3695751924365,2822.7103261398247,2750.438795291628,2747.3348926065437,2782.367138928643,2803.8332228054933,2793.093306927353,2768.6857358665898,2730.10480760402,2665.7983833547596,2608.444974328811,2598.5648462727722,2636.5104745690924,2715.465998072317,2822.4438789089463,2911.022332635363,2952.8879362777598,2970.596889551499,2972.165453155545,2937.270428372687,2884.7667677195177,2855.7198693889945,2847.52656727271,2846.861278082715,2859.439092969104,2853.9793218699488,2782.9499795881425,2676.5096973332234,2611.96225076058,2605.946286789469,2611.413739408658,2603.1596593811105,2628.8079912217895,2758.0677672685642,2966.398348193064,3109.1486437730673,3072.2742110872646,2913.4161017094334,2788.114421322632,2777.442742096641,2840.651255823258,2894.7479698908514,2902.378395266627,2891.674179095722,2890.9031591787802,2868.6468665464176,2788.464690600393,2693.0959809044775,2661.2265694256644,2704.5518011396744,2766.091853405409,2788.0755197668473,2747.3809014499993,2667.8392974946173,2618.641805889894,2657.1478737867988,2756.3733930490507,2830.857713372419,2852.7602592157205,2881.881124457682,2941.304428131806,2953.2576965505173,2866.865891987865,2745.8669948259203,2670.080260888233,2652.4968055141585,2668.4601302285496,2686.110792147274,2693.3566673981745,2723.8332333927638,2801.95076537937,2879.4572595293034,2899.660479696604,2886.2217192970325,2893.8550179308722,2922.510631477581,2934.0864680649747,2898.6732988471135,2815.1635279348075,2726.938506950788,2687.3878528181076,2702.2106357393764,2744.180154408829,2798.977931151371,2854.6607532362136,2874.799776010489,2832.09219837195,2755.482135599597,2703.0265250376674,2700.8078721332568,2726.955079824691,2742.3599113044165,2734.421376339258,2721.815378746429,2716.458442165935,2715.870122647677,2722.959265454109,2732.237394814545,2718.991042159017,2673.3682761392834,2624.270627822736,2610.486837052592,2636.5510012540885,2668.0710396055615,2671.001236499543,2644.495566001449,2608.6855669754095
,State,IND,IND.4_1,IN.AS,India,Assam,,State,,2459.02983769509,2487.877691327708,2501.3259390207127,2494.183216374174,2461.381323249969,2404.4224000004124,2345.0449296659754,2326.7294717465265,2381.8304206098996,2484.96606757646,2561.5243363076515,2564.4971576699013,2522.326317627879,2491.7139558372387,2489.8613267996507,2496.422246129096,2493.5650994589473,2481.692236922666,2473.891447349044,2473.5296212442877,2460.838824597855,2430.57070874957,2412.377046209026,2424.5508946756518,2456.426867643218,2501.1957600720534,2555.2122776362626,2597.3271221360105,2606.5426167120318,2586.707654555762,2555.8043685851244,2530.0450039878997,2521.063205443569,2518.816867012159,2492.154861593903,2436.261809129214,2384.2441559336685,2357.7677615365487,2353.447209740317,2371.515550130009,2411.9753110440815,2456.259521669413,2483.2795505430445,2493.9494137419038,2510.8842055136274,2556.899036702678,2622.163174830887,2655.927696994175,2621.6543615285636,2552.1132869767234,2509.5344780551195,2510.0934474777505,2527.4768421965136,2539.544200873825,2538.356503901071,2525.868283378697,2512.8073033141627,2495.971769481049,2451.3486603307488,2376.679984967646,2316.878250223575,2321.5589554482062,2386.8108684941844,2452.6651804417443,2461.6781023919457,2414.2267115658237,2361.5212307858183,2349.650895143315,2374.721522283038,2401.0078696908577,2424.992181634583,2481.196583660179,2560.971936245806,2596.592914271627,2564.3530572430464,2511.9196590964525,2466.214438292235,2417.998496708122,2378.4053467524272,2367.394289913731,2389.3477691225617,2445.650956791991,2516.873151866216,2556.1807882457733,2555.389222443879,2572.8374181300783,2643.426099875769,2712.6637611093633,2708.1027734602903,2628.513278379462,2534.0109496408613,2479.225175292593,2462.1191377860587,2438.2551963571295,2389.82885263605,2354.4584604320894,2371.3379859354936,2418.375334552406,2427.3670944208247,2369.001350054037,2300.371868083344,2300.8616374161143,2364.845074164153,2401.9215068608587,2364.650266294051,2306.7672351999477,2283.311905079762,2287.2059295250183,2299.7915621378443,2307.5505326481702,2279.9199167897746,2204.3060953156687,2125.4269497554965,2104.507528353072,2146.757529838899,2200.0955432599453,2223.5963204716345,2223.579942817648,2223.050138057645
,State,IND,IND.5_1,IN.BR,India,Bihar,,State,,1061.6804244076407,1096.0416723406431,1151.1935676426997,1217.5266899420103,1248.2622718706268,1208.3533671521652,1141.3183790140642,1132.9747838440405,1204.3439868926193,1289.9853893738318,1328.8440591116516,1323.2676794058034,1306.7213204765703,1305.468008417235,1327.2893693050178,1354.2580181583842,1357.2260674024003,1327.9299862192854,1288.8543736541246,1269.3849779002364,1271.8817789396958,1274.0789788653271,1264.1560449184788,1244.1229996828786,1213.965499059792,1186.2829237009864,1184.9654997562877,1204.1565506753418,1205.7747746186803,1174.3976117712755,1143.6800879364728,1153.3142894688297,1203.0792973935636,1266.8272450530492,1326.9797632721652,1371.9557468495386,1382.8417836830604,1347.5919696945327,1283.107860935317,1228.5371736401303,1207.4253759737753,1208.4158118246567,1213.6220425043134,1221.7889523059812,1233.4533550676758,1244.2803120252263,1256.972780712947,1266.8114935162969,1249.1024079955948,1202.410625612019,1171.8879754791233,1186.4630703824216,1220.955063857447,1246.1896410955321,1255.2566131867002,1240.843051247684,1207.2869791569817,1183.9768886138447,1188.3563023029865,1206.4346389108262,1220.5911305561,1222.6718185331729,1198.3663038148961,1133.3710080538335,1048.7494388931075,1002.4535153506827,1031.756332233406,1111.9577847511794,1186.6675534211984,1217.5418129554068,1203.7889481558013,1177.256295254541,1168.4617602660487,1173.7065845382785,1178.511642521687,1187.2696845603214,1201.2967358845715,1206.8106053873253,1197.8616278780996,1177.0472535515478,1152.22077001328,1158.100635488443,1232.228481716368,1351.4656452206927,1447.0489233911371,1477.5807868965708,1444.1537028944904,1366.1064452863277,1271.955037958817,1187.2119291358924,1127.426015286393,1104.6205126570833,1118.8878429429647,1155.1717070251627,1204.3811378037342,1267.856855422522,1335.9374043996029,1382.4270039505464,1387.4690523355616,1356.1492010681918,1308.743968310811,1259.267632114388,1209.9485774481268,1168.8338638957002,1161.8280847761052,1196.0593040171418,1220.484149815354,1181.5436356619002,1105.798614874107,1058.378715460735,1048.0439361960596,1040.3201072043832,1023.2218593788932,1006.9809471398028,992.5748401087462,970.8041995643487,941.5715692058599,919.2807948220327,915.7977923497778
,State,IND,IND.7_1,IN.CT,India,Chhattisgarh,,State,,1242.9870357975733,1265.973503564665,1305.2990788925974,1344.2473187981914,1371.078027827121,1390.2083872434787,1404.8620519358756,1412.5333672612542,1415.4479563812938,1411.3721095464798,1391.1809454154022,1364.78238266155,1362.8942258565792,1399.5757992480953,1459.018832063425,1516.8760032555813,1549.6458040215282,1536.1439314579065,1475.9235528442036,1401.5722331993688,1353.1053597773257,1345.1656112928329,1375.0174657966024,1435.3951929170798,1495.8181534760827,1513.2393913926926,1484.4144217734256,1448.6009886420022,1433.0560581507364,1435.071033074927,1450.2443353610463,1476.8997247419536,1502.7880692056442,1522.7481338977116,1549.4986417001053,1579.6568914727197,1582.0303336336237,1536.9169066506342,1459.1149464325335,1390.767811692577,1383.24717581162,1450.9812556078612,1543.5767854091698,1597.2970122969955,1597.7469416744639,1569.5338799297901,1531.5823241150586,1485.6578428099874,1434.3161865983936,1390.2530705970457,1363.1537248278546,1348.5859268469703,1342.903846391044,1354.2603282686503,1380.7795632891896,1403.6022349794239,1418.9356138380235,1444.9749349522972,1486.4222596201535,1515.6313350644898,1498.4314015700065,1432.9962895106569,1346.1100430041215,1261.706183063968,1204.711351509305,1199.862604777615,1236.789605900629,1285.4325795129605,1339.162739258006,1392.9283158415162,1417.7083434213048,1398.256589175441,1362.3498528687815,1349.757139657215,1368.1840909495356,1390.3691996944576,1388.8924557925686,1366.3636569624973,1347.964838552945,1346.4066389069121,1351.5611779055653,1356.817114952995,1367.2669153468103,1379.4622701424826,1375.3570582122636,1343.6828233665617,1307.6930221579257,1311.3223147522547,1354.5192657480948,1378.6339440240924,1355.2918648341945,1337.8940383327097,1370.9303939704616,1410.993476932299,1402.1864460274962,1363.4819427551608,1339.5978128619056,1329.2318133963145,1310.5410300904255,1287.3788768811808,1282.0009707773083,1308.0174059100966,1354.74419103647,1392.5258732564,1400.6010796077358,1382.3405595204179,1352.2875692726757,1329.024457482537,1336.8397673249776,1387.1590009220663,1456.9522824270355,1502.6680573172896,1499.6720559421208,1461.4414743392335,1415.6854896223751,1375.9707699203188,1349.704195448523,1347.2188610142741,1369.0523356584613
,State,IND,IND.10_1,IN.GA,India,Goa,,State,Gôa,3103.0179044900738,3052.634750380897,2922.3631882418467,2735.7539542830614,2607.728431948014,2637.0123174995324,2764.332559329394,2834.986985166552,2790.244420149814,2722.013521177833,2740.4111203474777,2852.9681115981703,2986.8828129707917,3078.6344688316535,3105.8979914607794,3053.393462721784,2911.311697642512,2727.6486457047863,2602.0999075599407,2604.550224156085,2723.5290631152184,2875.5521941717757,2961.4252491208904,2947.010249697463,2887.005689395022,2864.024305911147,2914.169578101102,3007.7852441792256,3103.114100281675,3198.8583531908675,3295.207250028707,3331.52610866468,3231.693183483299,3019.077873138542,2826.916103759016,2756.045715546646,2777.8982167470663,2813.2057292223353,2830.8402804372427,2849.4705558820683,2899.6548099797424,2976.5958244207354,3035.086268893512,3057.141868539166,3066.506144602212,3071.444208952213,3066.9055321567976,3065.389291730811,3073.1509055207157,3081.714671846804,3109.46349611902,3194.3216132890966,3321.5215277331754,3416.567989882123,3433.898663929638,3410.3462672437618,3414.486989105182,3474.0675649393565,3575.6148218919657,3680.8410445990157,3703.5611214547066,3571.7107320058553,3343.757113777136,3151.857093709018,3052.507554215221,3019.0812467289425,3026.3073063357697,3076.197938017914,3141.500668554412,3140.3168444429452,3056.1713002933375,3024.7047846396636,3158.8064287506077,3358.399753927996,3438.6229792177774,3360.5470110153433,3217.479810032338,3102.984586112662,3087.2373774267035,3204.2480370926587,3381.862312783152,3467.1671588103477,3366.411199860641,3130.5621151697433,2911.2020777824755,2841.9110195640524,2928.7789842345637,3054.792111174618,3111.739598259117,3096.9783320347597,3074.550733965286,3098.7443444536157,3183.760555041385,3302.5774501907845,3407.6830780472123,3472.538483281143,3505.7326713613397,3506.089510127217,3426.3672870055616,3234.2669768779283,2999.7749554646184,2853.287913432778,2864.759545339835,3011.3675752985873,3217.025360511713,3386.4021431942565,3464.0557833949656,3480.495168206809,3483.8679377794642,3453.4613962392605,3356.725286686288,3232.177569390855,3132.007671143854,3051.8242434299123,2972.643687009434,2919.0589207737157,2949.10436825704,3090.9187314047904,3312.5549049081847
,State,IND,IND.11_1,IN.GJ,India,Gujarat,,State,Goudjerate|Gujerat|Gujerate,509.94427246922515,536.5715491130704,543.9905199467835,549.6296941931807,584.6603837835962,649.3347953270679,708.7628432304114,731.8058263225415,711.2526825932879,673.7695565007447,670.5980389081564,714.1379225536821,748.3302513218603,734.0704337880412,709.8623184170632,710.1915576899908,704.0401622133212,672.1875112194144,652.2612600530163,660.2597948249451,654.842742166483,611.5197071567399,570.8445491984264,592.6205493105682,684.63866826802,781.5721136535427,804.9276471454489,750.8818250196726,689.1388179789958,674.639972058133,702.1132284320064,735.2690627119858,740.2587118572847,708.4870638471945,667.2915049800852,644.4309982389371,628.0662997956947,598.7497863827376,578.0513257360532,599.448936760379,659.3687003051442,734.2553621116143,809.0861971658823,861.0252290885242,854.2411779359304,780.0253805559795,682.8585055317592,621.9178824599051,608.3858330663451,610.5195441230678,621.0305342882625,664.2650697490014,733.8588503135454,787.5612106089909,803.0465963209904,798.2796790234768,804.8978000819327,825.9190910557744,823.6112149906405,774.3911832379988,708.319055109958,663.2013073237176,638.805020024398,618.1774749085089,601.3345738265884,597.3011465216033,605.8740640602024,629.432343740486,669.4546880441011,696.7143172669732,678.2964073009424,633.7943043014295,617.0722471525918,658.3633314927637,740.3597347993868,813.3962219046875,843.092326881197,840.3862908563044,829.4180754451636,814.7137840264725,795.8148145580748,775.5338007370384,739.2138500808004,664.9936337445341,571.4093605539231,520.7679965282811,551.2067012956819,624.8701742923918,669.9503761486303,663.6192407312153,646.4183314585874,661.421176267936,703.5773841073085,736.800800054789,749.0106441698452,757.1068646413623,755.2477906403028,714.1022949559112,641.5357151761777,589.7502785101169,599.796268141222,671.8316262836448,777.0328676825802,880.9918404727667,959.273775120596,993.6980814739794,979.4372698568238,948.2573195497215,937.3932127779007,930.216572305616,889.3531669821049,826.3176442429593,773.3372230952825,734.1889061053491,709.2849927272778,711.8548331810108,741.1455206468701,782.6854369567927,828.5643461541529
,State,IND,IND.12_1,IN.HR,India,Haryana,,State,,431.7502486352187,443.94823816354705,456.78995350274727,468.9775329232558,487.9452516356976,525.6684723310442,581.6174889623555,633.3688060062126,650.1601991277839,624.0813421476688,581.8681923278302,555.532104049079,552.8346123326319,568.1108364909734,599.2684913321234,628.487488142279,617.5778202081126,558.8180699531939,495.6927180814253,471.2375987303384,491.603991769809,538.0428097170784,583.3091442634967,604.7748609189188,595.178840662972,558.5696976648987,506.12325849746867,461.17987752117807,449.38057550378477,476.54569197094577,528.3517366695838,583.2436622051401,616.6824299635117,613.9561072426479,581.736731056638,531.5419870417562,469.81138068855773,415.7420609436803,401.6436743830301,441.946740501776,511.21559674159136,563.0979607456421,576.9637627322578,570.6999748391081,563.9424069111146,560.1466902344102,560.9975155377048,563.3944082524581,553.3893800708121,527.8448251569966,507.6856119907044,514.937469400118,549.7032074080918,596.3649294937503,637.3754904569,658.3969685317488,655.4141513878297,640.0844784828017,628.2669686415595,621.9888534947938,613.3230238845102,602.1875494662063,591.9650495760646,579.2171918782722,566.2030329858941,560.6309815172273,556.8542886698392,547.6274372430869,543.3304090221192,550.9961673978404,556.0748521341624,547.6605471075851,543.1535116486973,569.5077735734196,625.4711651615388,673.4919771908475,672.5497864851549,619.8493796866712,557.6839928495933,532.5223177498711,551.6280254836588,584.8279644458222,596.731942303099,572.3952806106915,526.3237948193856,493.99986426608206,499.87242098527474,526.9623732130165,536.9925342277206,520.0384664623099,503.42334189188915,519.0265177891367,574.5737099283047,647.2796158006973,701.007412478275,711.9122064239205,675.5166275468553,602.8898587677274,525.0417634536578,481.68855604477676,488.53254015022407,525.5694414447008,556.8579840633907,559.966062179321,547.391819704059,551.9832128754728,584.0644338977098,622.120710013143,645.5651404409446,650.0737432855481,636.9070419589909,609.1865947525667,573.2317027326684,539.031102616971,518.4272794572324,514.869576975249,520.6940517113776,527.8611192983343,533.2813580809488
,State,IND,IND.14_1,IN.JK,India,Jammu and Kashmir,,State,,564.7232077049276,581.6274997569341,606.3253484897415,631.1133527288563,648.3183703778338,658.3406739645544,667.1500492170577,677.2972958215363,683.9982635144692,679.72572695324,665.2725732308899,654.213629766904,654.6366017872708,654.4032231018565,643.6485927810287,631.861742114736,625.5224535109893,617.6924961424241,606.3548437519208,598.7728409353878,601.3693945106262,614.470291923448,628.5720367163545,629.5939442501387,616.6581152146164,606.8479084415225,614.9842611570158,634.4715158146033,644.7544048091111,636.0830980952152,619.014920978712,606.6091847295004,599.8972622230784,597.7204829026151,602.6227600461177,610.2242704312487,610.5644801161278,601.4500544044656,592.594673941974,599.8097145733533,627.957816010667,655.602842756445,653.6528156681588,621.7465927612318,589.9714821720761,585.1230457225582,606.7845223792829,634.5262754360722,647.3540211000777,636.8486197255365,614.8479069706547,606.8840262980196,627.7678373941457,672.8335980717985,731.9693693197902,788.0755097432011,809.2957526384112,774.0462137772146,700.1761484110318,629.4102738291276,587.5271782566018,571.9303584518628,571.7512431081361,582.4917561023724,598.0454642461581,604.8909594792938,592.7882877525491,562.9997025400125,528.715824683046,515.8546286106947,544.5795489924417,599.801842098072,646.8029494563225,672.0873719021089,679.2002083345445,667.7974552829137,642.5030168925995,617.4012325911218,606.8945535248355,624.7018557696356,669.2744631505046,706.6240540589033,703.1581443136774,673.4993012946236,663.0032286112722,691.1713507729298,735.9727814039064,764.254256287437,765.3205928217753,756.7846465719235,760.1216710993695,781.5229673000485,819.3366482120522,867.4599468054633,901.7744382067493,885.2648662978858,802.3514767551268,681.0688861980827,574.1152729335039,520.8549599021733,526.1603494037073,564.2724919538457,600.6504924993378,618.8029351627436,622.7894038962827,616.3122070120137,600.601729127557,587.4439715018227,588.0278304491051,596.642742192151,607.1183844191904,631.3792400642005,675.7039859375585,711.7643767954854,705.160903375517,666.5770756472514,639.409283291093,643.4545272390162,666.3024298164215
,State,IND,IND.15_1,IN.JH,India,Jharkhand,,State,Vananchal,1231.8257949003068,1240.5927910717617,1271.7084957218303,1316.9494107532182,1353.2103735038177,1366.5970187309572,1363.4991168811882,1357.8606539989041,1356.175463032736,1353.5469896537384,1346.3512367445655,1335.9653478839693,1318.068440070209,1299.040553706341,1310.221093896407,1362.8404457535225,1419.9315626688535,1446.0743440297142,1441.240096259284,1420.7548368121206,1403.1307008648182,1401.4551046326826,1408.5386539114484,1409.107036588976,1399.7862051346244,1389.4816453837539,1393.2230279847502,1414.458955259515,1427.2976422753047,1404.387822106421,1359.0826718520807,1325.0203368826242,1312.2573390360546,1319.7864510086022,1353.1878489801295,1396.2600138185755,1414.1645665336744,1402.7051604492335,1392.7627991138595,1410.2453770481231,1451.4617794490653,1484.239939757266,1478.7176915994048,1443.2215881176037,1409.127826702095,1390.825031141693,1384.9245032862955,1383.4957949166587,1371.2663592843032,1342.5707442813898,1316.244484443343,1299.8156291454593,1274.1904342625778,1242.6662481434628,1235.1546046963438,1252.2130288542462,1272.2895264325946,1297.5102536643012,1332.4608403192806,1352.0552622170105,1333.223458022472,1286.8009941142236,1232.4929127161263,1173.5596464740363,1121.7315633409362,1109.6566811502748,1148.606321637441,1214.8362779942063,1290.4820569343744,1366.0451545915391,1412.4964973595686,1407.8879182184087,1372.7820185127457,1347.0709010936878,1355.0947659159804,1388.9231513910606,1404.0672496256352,1362.549598765898,1286.5554017560958,1228.418845402506,1209.5271679964508,1226.4957753156352,1270.881524457674,1318.6824161679397,1344.79813487607,1348.5082306519473,1345.500038281038,1353.0932330866003,1373.4311609599122,1377.0835886098646,1343.1200310575161,1311.7434273113377,1335.9677489492617,1401.5713982753864,1458.934345253995,1500.042244291986,1540.999758184753,1559.6578471587213,1512.9022525831747,1406.2220070200533,1298.3478062420213,1234.5297779569498,1211.9460028924086,1216.8156412609928,1252.21851902334,1304.0329246816138,1321.6523311153571,1278.2776357987066,1224.3509757573604,1230.4163550105934,1290.3063358649063,1331.581542816104,1314.604873326548,1274.1288227673272,1261.3909244223894,1280.4331667689405,1299.0157700868785,1300.8691184056022,1295.6143818686814
,State,IND,IND.16_1,IN.KA,India,Karnataka,,State,Maisur|Mysore,1190.9865214426263,1195.084206899626,1167.6570374312826,1115.9330975312764,1079.957215800582,1084.1957782542509,1108.2611458455074,1126.9303017014738,1135.010446991618,1133.2297895150416,1125.13991546016,1121.5669499363187,1134.739627127272,1170.0013776779406,1211.3368295462883,1219.769669985638,1174.25415852609,1104.672563656481,1057.1917066994722,1046.397788840794,1061.4560031424085,1090.8595105187292,1121.3350894645694,1133.9996926673782,1121.939019238129,1103.170678045327,1100.436557501704,1115.7756424398492,1141.1784594799626,1180.7326188848067,1234.234659057452,1268.37355024093,1244.04158786494,1172.9226468132447,1107.6850183438237,1079.7139483267301,1082.4555821459637,1099.900863698283,1117.081448907525,1122.373565949084,1122.0078166306719,1129.4209880480528,1139.1300164356294,1143.1789645662673,1154.0701686966324,1177.2197096488078,1192.7427299946935,1185.6508784206337,1161.9097748373827,1135.2585721930982,1123.4266981017315,1141.2407923297346,1182.078389922853,1224.4592464474476,1255.4190076077375,1272.6035315791958,1278.3934561267338,1281.7507446291768,1294.134620430874,1316.2128132309028,1326.8665550675507,1297.629338830394,1226.4320265255665,1142.9783743670507,1081.9360564819615,1061.2914048037933,1077.1121016970303,1109.2266054249842,1131.3282979936616,1125.9590365615002,1104.6467009623498,1103.458251624185,1139.671160197085,1185.0522492684358,1205.4851996473967,1209.8719488584397,1224.8254319344528,1245.201627056179,1250.5317786037633,1239.9208190072184,1220.8902747956956,1192.1603251150782,1150.4478392507758,1103.4434486435166,1073.6978468020404,1079.3744495488668,1110.746384323443,1143.6292732742731,1171.6949489553967,1205.3131269500047,1243.4003916575386,1267.790048048658,1265.9509519107585,1244.9539548778964,1224.497264225657,1222.418575795427,1239.762782568304,1256.3654826774778,1245.3553659922864,1193.3934830848468,1114.5553068204886,1052.0089894820524,1050.9358000940097,1115.1270127288378,1201.9838697810653,1265.9829746153418,1294.36950153625,1299.1500954727455,1284.1986606752628,1237.5436386563526,1167.9154158408687,1114.8049508500703,1093.1241374381314,1069.593563203617,1019.4316341247888,964.4580805294034,938.7489450231487,948.6627986069992,979.2360860218416
