iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NAM,Namibia,CAIT,Total including LUCF,All GHG,MtCO₂e,,19.94,19.89,19.85,20.04,20.15,20.04,19.89,20.62,20.66,21.48,21.48,20.11,20.78,21.28,21.88,23.23,22.61,21.16,24.07,23.48,28.46,30.05,23.26,22.53,22.66,23.4,23.45,22.49
PAN,Panama,CAIT,Total including LUCF,All GHG,MtCO₂e,14.11,14.62,15.29,15.56,15.86,16.08,16.03,15.94,16.98,16.1,16.24,16.04,15.33,15.64,15.66,17.33,17.87,17.9,18.03,19.63,20.28,21.37,22.08,22.42,23.03,22.5,22.72,22.29,22.41
YEM,Yemen,CAIT,Total including LUCF,All GHG,MtCO₂e,12.37,14.02,14.8,13.92,14.3,15.82,16.48,17.82,19.24,21.07,22.25,23.84,24.03,26.98,28.24,29.33,29.68,31.41,33.06,36.97,35.61,32.39,31.47,38.35,38.81,26.05,22.74,21.97,21.76
EST,Estonia,CAIT,Total including LUCF,All GHG,MtCO₂e,37.37,33.58,25.79,19.99,19.11,17.42,18.3,17.88,17.37,16.43,16.08,16.56,16.15,18.1,18.26,18.41,17.18,21.2,19.66,16.26,20.26,14.54,13.31,15.72,14.39,11.95,20.21,20.86,20.56
COG,Republic of Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,13.88,16.1,16.01,15.98,15.75,15.9,14.68,15.25,15.15,14.98,14.51,14.41,14.72,16.01,16.05,18.53,18.96,18.89,19.33,19.38,19.65,19.89,19.8,19.35,19.0,19.03,20.22,19.88,20.29
GHA,Ghana,CAIT,Total including LUCF,All GHG,MtCO₂e,22.89,23.16,23.88,24.38,24.85,25.42,26.37,27.77,31.33,30.34,31.16,66.27,67.7,68.4,67.34,69.78,71.09,71.59,71.51,72.93,74.94,61.83,64.77,67.66,68.23,70.87,16.43,18.03,19.6
BGR,Bulgaria,CAIT,Total including LUCF,All GHG,MtCO₂e,76.59,59.37,53.5,52.02,48.13,49.35,49.88,47.36,43.51,36.58,35.97,36.61,33.96,38.75,37.44,37.41,37.48,41.68,39.21,31.8,33.49,50.74,45.04,39.96,42.55,45.2,20.47,22.65,19.52
GUY,Guyana,CAIT,Total including LUCF,All GHG,MtCO₂e,9.59,9.81,9.8,9.94,10.23,11.02,11.38,11.72,11.88,11.94,11.63,12.38,12.27,12.55,12.95,12.58,12.39,12.7,12.84,12.87,13.13,20.86,21.1,21.25,21.45,21.57,18.84,18.91,19.12
HRV,Croatia,CAIT,Total including LUCF,All GHG,MtCO₂e,27.85,21.34,22.36,23.25,23.33,24.61,23.96,25.44,25.8,25.41,24.49,25.3,26.3,27.4,27.17,27.06,27.79,29.3,28.47,25.91,25.35,24.41,22.45,21.33,20.6,21.19,18.39,19.06,18.21
LTU,Lithuania,CAIT,Total including LUCF,All GHG,MtCO₂e,45.88,47.61,32.84,26.92,24.9,23.29,24.04,23.81,24.69,21.94,20.23,20.16,20.52,20.69,21.64,22.78,22.9,23.9,23.33,19.74,20.55,13.92,13.83,12.94,12.46,12.71,18.21,18.11,18.21
SVN,Slovenia,CAIT,Total including LUCF,All GHG,MtCO₂e,8.35,7.32,7.06,7.77,7.85,8.72,9.54,10.02,9.75,9.06,8.76,7.5,7.57,7.54,7.76,7.96,8.33,8.26,9.25,7.26,7.56,16.4,15.79,15.15,13.6,13.68,17.48,17.65,17.51
BRN,Brunei,CAIT,Total including LUCF,All GHG,MtCO₂e,15.51,15.11,15.45,15.86,16.28,16.79,17.09,17.99,21.65,17.48,18.07,18.06,18.14,19.26,18.86,18.86,20.75,19.9,19.79,19.54,18.47,17.62,17.66,17.45,17.39,16.27,16.57,16.66,16.95
GEO,Georgia,CAIT,Total including LUCF,All GHG,MtCO₂e,33.78,23.65,15.56,9.3,1.96,-1.49,-3.12,-3.83,-4.32,-4.62,-4.25,8.05,7.49,8.03,8.13,8.76,9.12,9.87,9.0,9.75,9.48,14.38,15.26,16.05,16.63,16.97,17.39,17.19,16.9
TJK,Tajikistan,CAIT,Total including LUCF,All GHG,MtCO₂e,17.82,16.95,13.94,11.1,8.63,8.04,7.41,7.65,7.59,7.11,6.76,6.41,6.46,6.62,7.18,7.26,7.71,8.38,8.73,8.39,8.43,8.66,9.44,9.86,11.3,11.88,13.52,14.07,15.08
KGZ,Kyrgyzstan,CAIT,Total including LUCF,All GHG,MtCO₂e,31.63,29.36,21.71,16.86,11.68,8.99,9.93,9.82,10.03,8.68,8.64,9.07,10.02,10.66,10.81,10.49,10.6,11.85,13.02,12.65,12.32,13.01,15.6,15.13,15.67,16.23,13.25,12.97,14.86
GAB,Gabon,CAIT,Total including LUCF,All GHG,MtCO₂e,11.08,11.26,11.46,11.51,11.19,11.06,10.82,10.66,10.49,10.15,9.72,9.11,8.95,9.1,9.33,9.44,8.98,9.03,9.27,9.25,9.91,14.26,14.5,14.52,14.33,14.46,14.85,14.03,13.97
SLV,El Salvador,CAIT,Total including LUCF,All GHG,MtCO₂e,8.25,9.1,9.51,10.05,10.73,10.98,10.89,11.73,11.81,11.98,11.84,12.45,12.65,13.17,13.48,13.82,14.29,14.9,14.34,13.95,13.7,13.63,13.78,13.05,13.34,13.81,13.8,13.05,13.44
MDA,Moldova,CAIT,Total including LUCF,All GHG,MtCO₂e,38.12,32.03,26.81,23.42,20.35,18.29,16.53,14.82,13.36,12.0,11.15,10.68,10.82,11.42,11.41,11.7,11.36,11.58,11.45,10.77,11.53,12.25,12.0,11.15,11.81,12.02,12.78,12.81,13.28
SUR,Suriname,CAIT,Total including LUCF,All GHG,MtCO₂e,6.12,6.47,6.58,6.52,6.55,6.67,6.78,6.76,6.83,6.88,6.18,6.6,6.07,6.3,6.65,6.83,6.78,6.67,6.86,7.0,7.33,11.87,12.35,12.19,12.63,12.74,13.42,13.26,13.15
MRT,Mauritania,CAIT,Total including LUCF,All GHG,MtCO₂e,7.12,7.36,7.23,7.44,7.37,7.47,7.99,8.28,8.56,9.13,9.55,9.66,9.75,9.92,9.96,10.11,10.48,10.74,10.14,10.92,11.5,11.62,12.07,12.06,12.55,13.22,12.17,12.84,12.99
SLE,Sierra Leone,CAIT,Total including LUCF,All GHG,MtCO₂e,7.47,7.46,7.57,7.66,7.64,7.31,6.56,6.54,6.67,6.34,6.52,6.95,7.38,8.31,8.73,8.7,10.16,9.43,8.66,9.0,8.73,9.37,10.49,10.45,10.97,11.23,11.03,10.88,10.57
HTI,Haiti,CAIT,Total including LUCF,All GHG,MtCO₂e,5.13,5.35,5.76,5.4,4.9,5.69,5.97,6.37,6.51,6.65,7.12,7.29,7.58,7.62,7.49,7.58,7.63,8.04,8.06,8.1,8.64,9.62,9.36,9.65,10.01,10.34,10.53,10.54,10.56
MKD,Macedonia,CAIT,Total including LUCF,All GHG,MtCO₂e,13.98,13.31,12.72,12.72,12.27,11.91,13.44,12.26,13.03,12.13,11.85,11.88,11.26,12.17,11.95,12.33,12.37,12.81,12.61,11.91,11.75,12.7,12.12,11.24,10.82,10.56,10.53,11.01,10.51
JAM,Jamaica,CAIT,Total including LUCF,All GHG,MtCO₂e,9.39,9.39,10.18,10.37,10.41,10.73,11.07,11.21,11.78,12.1,12.22,9.38,9.55,9.97,9.89,9.85,11.05,10.97,8.57,6.83,6.44,9.24,8.81,9.29,9.13,9.02,9.41,8.87,10.2
LUX,Luxembourg,CAIT,Total including LUCF,All GHG,MtCO₂e,11.56,12.04,11.72,11.93,11.09,8.94,9.02,8.52,7.84,8.23,8.85,9.44,10.23,10.63,12.07,12.3,12.11,11.52,11.44,10.86,11.46,11.59,11.34,10.81,10.32,9.81,9.5,9.64,9.94
ALB,Albania,CAIT,Total including LUCF,All GHG,MtCO₂e,11.51,9.15,7.09,7.03,7.87,7.63,7.36,6.65,6.88,8.09,8.48,7.08,7.7,8.13,8.19,7.98,7.88,7.94,7.67,7.73,8.01,8.79,8.4,8.6,9.08,9.01,9.49,10.06,9.84
ARM,Armenia,CAIT,Total including LUCF,All GHG,MtCO₂e,24.44,25.07,14.95,8.77,6.24,6.85,5.78,6.39,6.31,5.8,6.15,6.26,5.93,6.35,6.75,7.47,7.9,8.56,9.11,8.02,7.88,8.3,9.29,9.22,9.18,9.18,9.54,9.32,9.4
TGO,Togo,CAIT,Total including LUCF,All GHG,MtCO₂e,6.89,6.71,6.4,6.3,6.59,6.62,7.14,6.92,7.89,8.36,7.95,5.95,6.44,7.09,6.86,7.8,7.22,6.89,7.21,8.66,8.49,8.94,8.42,8.27,7.99,8.74,9.06,8.84,9.24
BDI,Burundi,CAIT,Total including LUCF,All GHG,MtCO₂e,8.33,8.44,8.48,8.5,8.44,8.66,8.67,8.71,8.73,8.73,8.67,6.53,6.49,6.44,6.47,6.51,6.67,6.74,6.87,7.02,7.36,2.6,2.66,3.02,2.96,2.94,8.25,8.88,8.99
LVA,Latvia,CAIT,Total including LUCF,All GHG,MtCO₂e,12.38,10.66,7.97,4.78,1.8,0.13,0.12,-0.44,-0.87,-1.52,-2.21,-2.87,-2.83,-2.69,-2.6,-2.44,-1.91,-1.48,-1.8,-2.59,-1.41,9.1,8.89,8.84,8.76,8.83,8.56,8.47,8.89
CRI,Costa Rica,CAIT,Total including LUCF,All GHG,MtCO₂e,11.34,11.61,12.71,12.77,13.16,12.73,12.68,12.78,13.53,13.33,13.19,10.59,10.62,10.99,10.97,11.51,11.82,13.24,13.4,12.99,13.11,7.01,7.0,7.49,7.49,7.4,8.31,8.43,8.54
CYP,Cyprus,CAIT,Total including LUCF,All GHG,MtCO₂e,5.35,5.87,6.29,6.56,6.81,6.7,7.08,7.17,7.49,7.77,8.03,7.76,7.99,8.65,8.6,8.74,8.85,9.17,9.36,9.18,8.87,8.56,8.05,7.38,7.77,7.83,8.29,8.43,8.35
ERI,Eritrea,CAIT,Total including LUCF,All GHG,MtCO₂e,4.12,4.66,5.7,5.8,6.51,7.11,7.61,8.09,8.09,8.25,8.34,7.91,7.7,7.7,7.61,7.48,7.34,7.76,7.8,7.95,7.95,8.01,7.91,7.8,7.68,7.52,7.7,7.78,7.93
RWA,Rwanda,CAIT,Total including LUCF,All GHG,MtCO₂e,6.68,6.66,6.59,6.51,6.38,6.15,6.29,6.41,6.57,6.76,6.8,6.73,6.85,6.86,6.81,6.74,7.01,7.22,7.41,7.53,7.78,6.82,6.98,7.15,7.18,7.85,7.71,7.76,7.82
BLZ,Belize,CAIT,Total including LUCF,All GHG,MtCO₂e,13.2,13.41,13.63,13.7,13.8,12.71,11.55,10.57,9.6,8.44,7.43,4.18,4.29,4.52,4.11,4.25,4.28,4.46,4.42,5.44,4.6,7.22,6.94,6.94,6.79,7.0,6.77,6.84,6.82
MUS,Mauritius,CAIT,Total including LUCF,All GHG,MtCO₂e,2.26,2.36,2.45,2.61,2.69,2.75,2.92,3.03,3.31,3.84,4.27,4.48,4.5,4.7,4.72,4.91,5.34,5.48,5.59,5.59,5.86,5.83,5.99,6.12,6.33,6.37,6.5,6.7,6.71
TLS,Timor-Leste,CAIT,Total including LUCF,All GHG,MtCO₂e,0.92,0.99,0.99,1.03,1.11,1.13,1.15,1.16,1.18,1.07,1.13,2.2,3.26,4.1,4.9,5.88,6.23,6.52,6.89,7.21,7.52,7.41,7.39,7.36,7.33,7.36,7.23,6.86,6.66
LSO,Lesotho,CAIT,Total including LUCF,All GHG,MtCO₂e,3.33,3.39,3.61,3.62,3.63,3.59,3.59,3.61,3.63,4.13,4.08,4.08,3.93,4.01,3.99,4.19,4.26,4.46,4.53,4.75,4.9,5.1,5.28,5.28,5.39,5.39,5.42,5.78,5.85
GNB,Guinea-Bissau,CAIT,Total including LUCF,All GHG,MtCO₂e,3.35,3.36,3.4,3.43,3.46,3.49,3.14,3.18,3.41,3.77,3.47,3.65,3.79,3.88,3.9,3.85,4.14,4.15,3.91,3.99,4.13,4.05,4.48,4.25,4.35,4.59,4.37,4.39,4.44
MNE,Montenegro,CAIT,Total including LUCF,All GHG,MtCO₂e,2.24,2.23,2.11,2.12,2.13,2.19,2.22,2.25,2.25,2.23,2.17,-1.61,-1.61,-1.6,-1.75,0.03,0.09,-0.1,0.36,-0.7,0.05,4.07,3.83,3.69,3.59,3.69,3.43,3.56,3.83
BRB,Barbados,CAIT,Total including LUCF,All GHG,MtCO₂e,3.12,3.15,3.39,3.24,3.32,3.37,3.38,3.49,3.61,3.65,3.6,3.67,3.72,3.73,3.73,3.77,3.83,3.85,4.17,7.01,3.99,4.09,4.65,3.94,3.76,3.77,3.81,3.72,3.79
ISL,Iceland,CAIT,Total including LUCF,All GHG,MtCO₂e,3.38,3.26,3.06,3.02,3.1,3.04,3.29,3.27,3.42,3.4,3.43,3.27,3.33,3.3,3.37,3.33,3.8,3.81,3.7,3.36,3.24,2.99,2.98,3.14,3.21,3.25,3.22,3.34,3.35
GMB,Gambia,CAIT,Total including LUCF,All GHG,MtCO₂e,5.16,5.32,5.44,5.56,5.1,4.63,4.3,3.99,3.72,3.66,3.31,2.79,2.57,2.49,2.4,2.27,2.39,2.46,2.64,3.01,3.09,2.79,2.89,2.97,3.12,3.15,3.19,3.23,3.31
SWZ,Eswatini,CAIT,Total including LUCF,All GHG,MtCO₂e,2.61,2.65,2.6,2.32,2.68,2.68,2.56,2.89,2.99,3.02,2.93,2.74,2.78,2.82,2.83,2.87,2.77,2.99,2.88,2.79,2.82,2.84,2.9,3.41,2.83,2.88,3.09,2.93,3.0
BHS,Bahamas,CAIT,Total including LUCF,All GHG,MtCO₂e,2.04,2.14,2.8,2.37,2.3,2.36,2.3,2.1,2.62,2.58,2.52,2.4,2.56,2.53,2.5,2.36,2.34,2.38,2.48,6.38,2.42,2.82,4.0,3.53,3.0,2.76,2.6,2.61,2.65
MDV,Maldives,CAIT,Total including LUCF,All GHG,MtCO₂e,0.21,0.21,0.28,0.26,0.27,0.33,0.35,0.42,0.4,0.52,0.56,0.59,0.72,0.64,0.86,0.84,1.0,1.01,1.02,1.08,1.14,1.22,1.38,1.39,1.65,1.66,2.12,2.23,2.38
GRD,Grenada,CAIT,Total including LUCF,All GHG,MtCO₂e,1.84,1.86,1.92,1.91,1.93,1.96,1.99,2.02,2.06,2.07,2.07,2.1,2.13,2.15,2.14,2.16,2.19,2.21,2.24,2.77,2.26,2.27,2.41,2.32,2.26,2.29,2.31,2.33,2.36
MLT,Malta,CAIT,Total including LUCF,All GHG,MtCO₂e,2.52,2.43,2.41,3.05,2.76,2.62,2.57,2.73,2.63,2.67,2.41,2.78,2.62,2.92,2.92,2.97,3.05,3.14,3.08,2.89,2.99,2.98,3.16,2.83,2.84,2.16,1.86,2.01,2.03
DJI,Djibouti,CAIT,Total including LUCF,All GHG,MtCO₂e,0.99,1.01,1.02,1.04,1.05,1.1,1.15,1.18,1.19,1.23,1.27,1.28,1.31,1.33,1.32,1.36,1.36,1.4,1.41,1.4,1.46,1.42,1.46,1.52,1.43,1.52,1.47,1.46,1.48
ATG,Antigua and Barbuda,CAIT,Total including LUCF,All GHG,MtCO₂e,0.36,0.37,0.45,0.43,0.43,0.46,0.49,0.52,0.57,0.59,0.61,0.65,0.71,0.75,0.76,0.79,0.86,0.92,0.97,1.93,1.04,1.07,1.29,1.06,1.07,1.1,1.13,1.16,1.21
BTN,Bhutan,CAIT,Total including LUCF,All GHG,MtCO₂e,-5.46,-5.41,-5.42,-5.45,-5.42,-5.32,-5.29,-5.2,-5.19,-5.13,-5.18,-5.24,-5.21,-5.25,-5.28,-5.09,-5.11,-5.03,-5.16,-5.14,-4.99,0.48,0.62,0.67,0.74,0.77,1.01,1.11,1.16
VUT,Vanuatu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.5,0.51,0.53,0.56,0.56,0.57,0.59,0.6,0.6,0.61,0.59,0.57,0.57,0.59,0.58,0.6,0.6,0.73,0.73,0.72,0.74,0.76,0.76,0.76,0.82,0.81,0.86,0.86,0.87
WSM,Samoa,CAIT,Total including LUCF,All GHG,MtCO₂e,0.47,0.47,0.47,0.48,0.52,0.52,0.53,0.53,0.54,0.54,0.55,0.57,0.57,0.58,0.59,0.61,0.61,0.61,0.6,0.62,0.63,0.65,0.65,0.66,0.68,0.73,0.77,0.78,0.8
SYC,Seychelles,CAIT,Total including LUCF,All GHG,MtCO₂e,0.22,0.24,0.24,0.26,0.28,0.28,0.32,0.43,0.52,0.61,0.67,0.73,0.63,0.65,0.85,0.79,0.84,0.75,0.81,0.62,0.56,0.52,0.57,0.54,0.6,0.65,0.69,0.74,0.78
CPV,Cape Verde,CAIT,Total including LUCF,All GHG,MtCO₂e,-0.27,-0.26,-0.22,-0.22,-0.23,-0.2,-0.21,-0.2,-0.17,-0.13,-0.11,0.37,0.4,0.43,0.47,0.58,0.64,0.6,0.62,0.67,0.71,0.7,0.67,0.65,0.65,0.66,0.71,0.73,0.77
COM,Comoros,CAIT,Total including LUCF,All GHG,MtCO₂e,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.39,0.4,0.38,0.4,0.41,0.43,0.45,0.47,0.47,0.42,0.45,0.46,0.5,0.51,0.52,0.55,0.55,0.57,0.6,0.64,0.65
AND,Andorra,CAIT,Total including LUCF,All GHG,MtCO₂e,0.43,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.6,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.6,0.6,0.59,0.58,0.58,0.59,0.59,0.59
LCA,Saint Lucia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.75,0.77,0.88,0.88,0.93,0.89,0.82,0.75,0.66,0.58,0.49,0.56,0.52,0.56,0.56,0.53,0.56,0.47,0.49,1.22,0.58,0.54,0.69,0.49,0.54,0.56,0.54,0.57,0.59
STP,Sao Tome and Principe,CAIT,Total including LUCF,All GHG,MtCO₂e,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.13,0.13,0.14,0.15,0.16,0.36,0.38,0.39,0.38,0.39,0.39,0.4,0.41
KNA,Saint Kitts and Nevis,CAIT,Total including LUCF,All GHG,MtCO₂e,0.19,0.19,0.23,0.22,0.23,0.24,0.24,0.25,0.27,0.27,0.28,0.3,0.32,0.32,0.33,0.32,0.33,0.35,0.35,0.81,0.35,0.37,0.45,0.33,0.34,0.35,0.35,0.35,0.37
VCT,Saint Vincent and the Grenadines,CAIT,Total including LUCF,All GHG,MtCO₂e,0.11,0.11,0.15,0.15,0.17,0.18,0.18,0.19,0.23,0.22,0.2,0.29,0.31,0.31,0.33,0.33,0.33,0.38,0.3,1.07,0.33,0.31,0.48,0.3,0.37,0.3,0.35,0.35,0.37
TON,Tonga,CAIT,Total including LUCF,All GHG,MtCO₂e,0.25,0.27,0.25,0.26,0.27,0.26,0.24,0.25,0.24,0.26,0.24,0.23,0.24,0.26,0.27,0.28,0.29,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.27,0.27,0.31,0.34,0.35
PLW,Palau,CAIT,Total including LUCF,All GHG,MtCO₂e,,0.01,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.25,0.28,0.27,0.26,0.23,0.22,0.23,0.24,0.24,0.24,0.25,0.25,0.29,0.3,0.32
FJI,Fiji,CAIT,Total including LUCF,All GHG,MtCO₂e,-0.72,-0.7,-0.65,-0.59,-0.54,-0.48,-0.43,-0.43,-0.47,-0.5,-0.47,-0.21,-0.37,-0.24,0.17,-0.02,0.05,-0.05,-0.34,-0.34,-0.18,-0.18,-0.2,-0.04,0.2,-0.17,0.07,0.19,0.28
FSM,Micronesia,CAIT,Total including LUCF,All GHG,MtCO₂e,,-0.02,0.09,0.09,0.1,0.16,0.16,0.16,0.17,0.17,0.17,0.19,0.18,0.2,0.2,0.2,0.18,0.18,0.16,0.18,0.16,0.17,0.18,0.19,0.19,0.2,0.22,0.23,0.24
MHL,Marshall Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.22,0.22,0.24
DMA,Dominica,CAIT,Total including LUCF,All GHG,MtCO₂e,0.24,0.24,0.26,0.26,0.26,0.27,0.24,0.25,0.25,0.25,0.26,0.21,0.18,0.19,0.21,0.22,0.23,0.24,0.24,0.56,0.24,0.23,0.31,0.23,0.24,0.24,0.24,0.22,0.23
LIE,Liechtenstein,CAIT,Total including LUCF,All GHG,MtCO₂e,0.25,0.25,0.26,0.26,0.25,0.25,0.26,0.27,0.28,0.28,0.27,0.27,0.28,0.29,0.29,0.29,0.29,0.27,0.29,0.27,0.26,0.21,0.22,0.23,0.2,0.19,0.19,0.19,0.18
KIR,Kiribati,CAIT,Total including LUCF,All GHG,MtCO₂e,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.1,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11
COK,Cook Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.1
NRU,Nauru,CAIT,Total including LUCF,All GHG,MtCO₂e,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08
TUV,Tuvalu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
NIU,Niue,CAIT,Total including LUCF,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
